box_pos_x,box_pos_y,box_pos_z,change_pos,collisions,energy,pos_x,pos_y,pos_z,t,vel_x,vel_y,vel_z
-7.148375615795248e-09,-1.6812050350974985e-08,-4.4699467757271836e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-7.148375615795248e-09,-1.6812050350974985e-08,-4.4699467757271836e-08,3.9999999999999996e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
-7.846456460906923e-09,-1.8491100174087206e-08,-4.678323545448991e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-7.846456460906923e-09,-1.8491100174087206e-08,-4.678323545448991e-08,4.1e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
-8.544537306018597e-09,-2.0170149997199427e-08,-4.886700315170798e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-8.544537306018597e-09,-2.0170149997199427e-08,-4.886700315170798e-08,4.2e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
-9.242618151130271e-09,-2.184919982031165e-08,-5.0950770848926056e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-9.242618151130271e-09,-2.184919982031165e-08,-5.0950770848926056e-08,4.2999999999999996e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
-9.940698996241946e-09,-2.352824964342387e-08,4.6965461453855866e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-9.940698996241946e-09,-2.352824964342387e-08,-5.303453854614413e-08,4.4e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
-1.063877984135362e-08,-2.520729946653609e-08,4.488169375663779e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-1.063877984135362e-08,-2.520729946653609e-08,-5.51183062433622e-08,4.5e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
-1.1336860686465295e-08,-2.688634928964831e-08,4.279792605941972e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-1.1336860686465295e-08,-2.688634928964831e-08,-5.720207394058028e-08,4.5999999999999996e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
-1.203494153157697e-08,-2.8565399112760533e-08,4.0714158362201645e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-1.203494153157697e-08,-2.8565399112760533e-08,-5.928584163779835e-08,4.699999999999999e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
-1.2733022376688644e-08,-3.0244448935872754e-08,3.863039066498357e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-1.2733022376688644e-08,-3.0244448935872754e-08,-6.136960933501643e-08,4.8e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
-1.3431103221800318e-08,-3.192349875898497e-08,3.65466229677655e-08,2.7656125886997487e-09,7,2.5369212201549383e-21,-1.3431103221800318e-08,-3.192349875898497e-08,-6.345337703223451e-08,4.9e-10,-69.80808451116748,-167.904982311222,-208.37676972180748
