pos_x,pos_y,pos_z,box_pos_x,box_pos_y,box_pos_z,vel_x,vel_y,vel_z,t,change_pos,energy,collisions
-2.6653530714912097e-07,-2.4881669961413948e-08,2.819896157753543e-09,3.3464692850878275e-08,2.5118330038586056e-08,-4.718010384224639e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.82e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.668886182149451e-07,-2.4475612275341687e-08,-1.1726546763955764e-10,3.311138178505414e-08,2.5524387724658317e-08,-5.011726546763949e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.8299999999999999e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.672419292807692e-07,-2.4069554589269426e-08,-3.054427093032658e-09,3.2758070719230006e-08,2.5930445410730578e-08,4.69455729069674e-08,-35.33110658241362,40.60576860722609,-293.71616253931006,1.8399999999999998e-09,2.986072666117485e-09,2.957501942336916e-21,10
-2.675952403465933e-07,-2.3663496903197165e-08,-5.991588718425759e-09,3.240475965340587e-08,2.633650309680284e-08,4.40084112815743e-08,6.041028627937041,93.69218055463132,-94.75620341827808,1.8499999999999998e-09,2.986072666117485e-09,2.957501942336916e-21,11
-2.6753483006031395e-07,-2.272657509765085e-08,-6.93915075260854e-09,3.246516993968524e-08,2.7273424902349153e-08,4.306084924739152e-08,6.041028627937041,93.69218055463132,-94.75620341827808,1.86e-09,1.3339211674687257e-09,5.901801832068419e-22,11
-2.674744197740346e-07,-2.1789653292104537e-08,-7.886712786791321e-09,3.252558022596461e-08,2.8210346707895468e-08,4.2113287213208744e-08,6.041028627937041,93.69218055463132,-94.75620341827808,1.87e-09,1.3339211674687257e-09,5.901801832068419e-22,11
-2.674140094877552e-07,-2.0852731486558223e-08,-8.834274820974102e-09,3.258599051224398e-08,2.9147268513441782e-08,4.1165725179025967e-08,6.041028627937041,93.69218055463132,-94.75620341827808,1.8799999999999997e-09,1.3339211674687257e-09,5.901801832068419e-22,11
-2.6735359920147584e-07,-1.991580968101191e-08,-9.781836855156883e-09,3.2646400798523346e-08,3.0084190318988096e-08,4.021816314484319e-08,6.041028627937041,93.69218055463132,-94.75620341827808,1.89e-09,1.3339211674687257e-09,5.901801832068419e-22,11
-2.6729318891519647e-07,-1.8978887875465594e-08,-1.0729398889339665e-08,3.2706811084802714e-08,3.102111212453441e-08,3.927060111066041e-08,-116.13238665088737,52.87871028993129,104.5449562065632,1.9e-09,1.3339211674687257e-09,5.901801832068419e-22,12
-2.6845451278170533e-07,-1.8450100772566282e-08,-9.683949327274032e-09,3.154548721829384e-08,3.1549899227433725e-08,4.0316050672726045e-08,-116.13238665088737,52.87871028993129,104.5449562065632,1.91e-09,1.6496222931140906e-09,9.025958419515344e-22,12
-2.696158366482142e-07,-1.792131366966697e-08,-8.6384997652084e-09,3.0384163351784964e-08,3.207868633033304e-08,4.136150023479168e-08,-116.13238665088737,52.87871028993129,104.5449562065632,1.92e-09,1.6496222931140906e-09,9.025958419515344e-22,12
-2.7077716051472304e-07,-1.739252656676766e-08,-7.593050203142767e-09,2.922283948527609e-08,3.2607473433232356e-08,4.2406949796857314e-08,-116.13238665088737,52.87871028993129,104.5449562065632,1.9299999999999997e-09,1.6496222931140906e-09,9.025958419515344e-22,12
-2.719384843812319e-07,-1.6863739463868347e-08,-6.547600641077135e-09,2.8061515618767214e-08,3.313626053613167e-08,4.345239935892295e-08,-116.13238665088737,52.87871028993129,104.5449562065632,1.94e-09,1.6496222931140906e-09,9.025958419515344e-22,12
-2.7309980824774075e-07,-1.6334952360969035e-08,-5.502151079011503e-09,2.690019175225834e-08,3.3665047639030986e-08,4.449784892098858e-08,-116.13238665088737,52.87871028993129,104.5449562065632,1.9499999999999997e-09,1.6496222931140906e-09,9.025958419515344e-22,12
-2.742611321142496e-07,-1.5806165258069723e-08,-4.456701516945872e-09,2.5738867885749464e-08,3.41938347419303e-08,4.5543298483054216e-08,-116.13238665088737,52.87871028993129,104.5449562065632,1.96e-09,1.6496222931140906e-09,9.025958419515344e-22,12
-2.7542245598075846e-07,-1.527737815517041e-08,-3.41125195488024e-09,2.457754401924059e-08,3.472262184482962e-08,4.658874804511985e-08,-116.13238665088737,52.87871028993129,104.5449562065632,1.97e-09,1.6496222931140906e-09,9.025958419515344e-22,12
-2.765837798472673e-07,-1.4748591052271097e-08,-2.365802392814608e-09,2.3416220152731714e-08,3.525140894772893e-08,4.7634197607185485e-08,-116.13238665088737,52.87871028993129,104.5449562065632,1.9799999999999998e-09,1.6496222931140906e-09,9.025958419515344e-22,12
-2.7774510371377617e-07,-1.4219803949371783e-08,-1.3203528307489762e-09,2.225489628622284e-08,3.578019605062825e-08,4.867964716925112e-08,-116.13238665088737,52.87871028993129,104.5449562065632,1.99e-09,1.6496222931140906e-09,9.025958419515344e-22,12
